name,position
Andrej Plenković,Predsjednik Vlade Republike Hrvatske
Tomo Medved,Potpredsjednik Vlade
Tomo Medved,ministar hrvatskih branitelja
Davor Božinović,Potpredsjednik Vlade
Davor Božinović,ministar unutarnjih poslova
Zdravko Marić,Potpredsjednik Vlade
Zdravko Marić,ministar financija
Boris Milošević,Potpredsjednik Vlade za društvene djelatnosti i ljudska prava
Nataša Tramišak,Ministrica regionalnoga razvoja i fondova Europske unije
Gordan Grlić Radman,Ministar vanjskih i europskih poslova
Nikolina Brnjac,Ministrica turizma i sporta
Radovan Fuchs,Ministar znanosti i obrazovanja
Tomislav Ćorić,Ministar gospodarstva i održivog razvoja
Vili Beroš,Ministar zdravstva
Marija Vučković,Ministrica poljoprivrede
Josip Aladrović,"Ministar rada, mirovinskoga sustava, obitelji i socijalne politike"
Mario Banožić,Ministar obrane
Ivan Malenica,Ministar pravosuđa i uprave
Oleg Butković,"Ministar mora, prometa i infrastrukture"
Nina Obuljen Koržinek,Ministrica kulture i medija
Darko Horvat,"Ministar prostornoga uređenja, graditeljstva i državne imovine"
